,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,95317189,AUDA,KZN221,uMshwathi,Total Cash Receipts by Source,KwaZulu-Natal,30.3639319,30.3639319
2013,95476292,AUDA,KZN221,uMshwathi,Total Cash Payments by Type,KwaZulu-Natal,30.3204873,30.3204873
2013,223015523,AUDA,KZN222,uMngeni,Total Cash Receipts by Source,KwaZulu-Natal,30.3639319,30.3639319
2013,217042905,AUDA,KZN222,uMngeni,Total Cash Payments by Type,KwaZulu-Natal,30.3204873,30.3204873
2013,96435225,AUDA,KZN223,Mpofana,Total Cash Receipts by Source,KwaZulu-Natal,30.5743164,30.5743164
2013,102459568,AUDA,KZN223,Mpofana,Total Cash Payments by Type,KwaZulu-Natal,30.5743164,30.5743164
2013,54027388,AUDA,KZN224,Impendle,Total Cash Receipts by Source,KwaZulu-Natal,30.112735,30.112735
2013,50694052,AUDA,KZN224,Impendle,Total Cash Payments by Type,KwaZulu-Natal,30.112735,30.112735
2013,3184703404,AUDA,KZN225,The Msunduzi,Total Cash Receipts by Source,KwaZulu-Natal,30.112735,30.112735
2013,3088251089,AUDA,KZN225,The Msunduzi,Total Cash Payments by Type,KwaZulu-Natal,30.112735,30.112735
2013,59876609,AUDA,KZN226,Mkhambathini,Total Cash Receipts by Source,KwaZulu-Natal,29.8352303,29.8352303
2013,52445083,AUDA,KZN226,Mkhambathini,Total Cash Payments by Type,KwaZulu-Natal,29.8352303,29.8352303
2013,71287743,AUDA,KZN227,Richmond,Total Cash Receipts by Source,KwaZulu-Natal,30.3824842,30.3824842
